"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","topic11","topic12","topic13","topic14"
"1","effettuate","complessivo","esistenti","economici","facoltà_assunzionali_previste","esistenti","espletamento","fabbrica","farmacie","eventi","familiare","apportate","aziende","elevata"
"2","gestori","incrementata","imposte_anticipate","autorizzazione","indicata","ancora","indebitamento","incremento","indeterminato","incrementare","incarichi","guida","funzionamento","gestori"
"3","stanziate","spetta","statuto","standard","stabiliti_criteri_modalità","statuto","standard","corrisposti","analisi","stipulati","stabilisce","statoà","agenzia","stanziamento"
"4","evitare","fine_consentire","finanziamento","esperienza","fondazione","finalizzate","firme","calcolo","fiscali","appositi","fine_promuovere","fermi","esperienza","facoltà"
"5","sociale","aggiuntivi","somministrazione_vaccini_sars-2","sociali","sociale","sostegno","soluzione","sistema","assunzioni","sostegno","sociali","somministrazione_vaccini_sars-2","situazione","soluzione"
"6","pagamenti","amministrativa","particolare","calcolo","pensionistici","periodo_precedente","percentuale","periodo_compreso","perdita","pensionistici","pensione","passeggeri","ordinamento","organizzazioni"
"7","organizzazioni","organizzazione","parti","opere","parziale","perdite","pensionistici","apposita","assistenza","pensione","origine","pagamento","operatori","organizzazione"
"8","intesa","l_27_12_2017_n_205","italiano","inquadrare","l_22_12_2011_n_214","italiana","l_24_4_2020_n_27","l_23_12_2014_n_190","l_28_1_2009_n_2","l_21_6_2017_n_96","l_17_7_2020_n_77","istituti","integrazione","aiuti"
"9","ridotta","ripresa","ridotta","ricezione","riduzione","ripartire","rinegoziazione","adeguamento","ripartito","ridurre","ripartire","riparto","riconosciuta","ricostruzione"
"10","risoluzione","riservate","rispettivi","risorse","amministrazioni","risultanti","ristrutturazione","risorse","annualità","ristoro","riservati","risparmi","ripartizione","rispettivamente"
"11","diminuzione","dlgs_30_3_2001_n_165","dl_19_5_2020_n_34","deliberazione","dodici","dl_6_12_2011_n_201","dl_8_4_2020_n_23","avvalersi","autorità","docente","donne","disponibilità","determinato","dipartimento_funzione_pubblica"
"12","enti","eventuale","beneficiario","emergenza","beni_strumentali","consentire","femminile","attive","fatturato","fermi","banca","esclusione","comando","bolzano"
"13","livelli","maggiori_entrate","medicinali","limite_massimo","merci","mensile","mese","mancata","maggiori","amministrazioni_pubbliche","locazione","maggiori","leggi","assegnazione"
"14","pubblica_amministrazione","quattro","pubblicato","proporzione","adeguato","quattro","pubblico","quadro","qualità","pubblici","puntuale","quattro","proposta","province_autonome_trento_bolzano"
"15","stabiliti_criteri_modalità","spettanti","statale","comitato","sportive","statali","centrali","spese","spettante","stato","sportive","conferenza","stabilisce","adempimento"
"16","risorse_umane","risorse_disponibili","ristorazione_italiana","risorse_finanziarie","risparmi","risulti","autonome","risorse_finanziarie","risorse_finanziarie","risultano","risorse_destinate","ristoro","riservate","affari"
"17","legislazione_vigente","massimo","locale","l_23_12_2014_n_190","mancata","amministrative","maggiori_entrate","mancanza","mancata","lotta","lotta","locali","l_28_12_2015_n_208","l_5_6_2020_n_40"
"18","limite_massimo","mensili","luglio","l_28_12_2015_n_208","alta_formazione_artistica_musicale_coreutica","mancanza","massima","massimo","maturato","maggiori_oneri","maggiori","luogo","l_7_8_2012_n_134","lavoro"
"19","riduzione","consiglio_ministri","rilevanti","riconosciuti","rilascio","riqualificazione","considerano","rilevanti","riequilibrio","rimborso","adempimento","ripresa","ricorrono","autonomi"
"20","dl_6_12_2011_n_201","effetto","dpcm","amministrative","effettuati","durata","eccedente","effettuati","effettuato","aumento","effettuati","docenti","disposizioni_legislative","dl_8_4_2020_n_23"
"21","modalità_accesso","mondo","netto","ministro_lavoro_politiche_sociali","normativa_vigente","nozionale","next","necessario","monitoraggio","necessarie","momento","anno","ambientali","misure"
"22","debito","benefìci","digitale","corso","dl_14_8_2020_n_104","autonomi","dirett","dl_22_6_2012_n_83","dl_30_4_2019_n_34","disciplinati","dl_22_6_2012_n_83","determinata","dare","decreti"
"23","coesione","costituisce","capo","concessione","cultura","autorizzati","capitale","dati","continuativa","costo","centro","contribuire","ciclo","considerate"
"24","trasformate","totale","acqua","compatibili","trasformate","trattato","trasferimento","corsi","trasformazione","trasformate","trasferite","trattato_funzionamento_unione_europea","trasferimenti","coerenza"
"25","conseguimento","costo","corrispondente_riduzione","concesso","data_efficacia_giuridica","campania","corretta","comitato","beni_strumentali","crediti","decorrenza","cod_civile","connessi","consiglio"
"26","attiva","rete","riduzioni","riconoscimento","appartenenti","contrattazione","conseguenza","richiesta","restituzione","riequilibrio","assunzione","ricorrono","rete","allegato_annesso"
"27","cassa","fini","fine_periodo","eventi","fondo_rotazione","finanziari","fondo","fondazioni","fondo","fondo","flessibile","applica","europea","autonomo"
"28","luglio","ministero_ambiente_tutela_territorio_mare","mercato","limitatamente","migliorare","mezzi","amministrativa","migliorare","milioni","mese_successivo","merci","medici","limite_spesa","livello"
"29","presentazione","prevista","presidenza_del_consiglio_dei_ministri","politiche_agricole_alimentari_forestali","previdenziali","prevista","previdenziali","private","previsione","agenzia","previdenziali","previsioni","posizioni","precedenti"
"30","lavoratori","limite_massimo","livello","l_24_12_2007_n_244","luce","livello","luce","livelli","limite_massimo","connesse","licenza","licenza","ammortizzatori","amministrativo"
